Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Gadidae,Lotidae,Pleuronectidae,Scopthalmidae,Pleuronectidae/Scopthalmidae,Congridae,Trachinidae,Belonidae,Clupeidae,Scombridae,Cottidae,Syngnathidae,Squalidae,Zoarcidae,Triglidae,Sparidae,Labridae,Carangidae,Gobiidae,Moronidae,Anarhichadidae,Callionymidae,Ammodytidae,Xiphiidae,Lamnidae,Triakidae,Rajidae,Mugilidae,Engraulidae,Anguillidae,Salmonidae,Acipenseridae,Gasterosteidae,Cyprinidae,Percidae,Esocidae,Siluridae
1,Agernæs,55.621207,10.293465,Open air,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aggersund,57,9.28,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Åkonge,55.582371,11.547747,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
4,Asnæs Havnemark,55.6704,10.9572,Open air,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
5,Asnæs Havnemark (screen-test),55.6704,10.9572,Open air,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
6,Bjørnsholm (H. C. Broholm),56.871537,9.213137,Shell midden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
7,Bjørnsholm (S. H. Andersen & E. Johansen),56.871537,9.213137,Shell midden,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0
8,Bjørnsholm (S. H. Andersen & E. Johansen),56.871537,9.213137,Shell midden,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
9,Bloksbjerg,57.257302,9.631894,Open air/waterlogged,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
10,Bøgebjerg,55.76954,11.387311,Shell midden,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Brabrand Sø,56.145193,10.119089,Waterlogged,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Brovst,57.09291,9.529211,Shell midden,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
