Entry,Site name (site director(s) if multiple entries and/or sample),Lat.,Long.,Site type,Phocidae (Seal unspec.),Halichoerus grypus (Grey seal),Pagophilus groenlandicus (Harp seal),Phoca vitulina (Harbour seal),Pagophilus groenlandicus (Harp seal)/Phoca vitulina (Harbour seal),Phoca largha (Spotted seal),Pusa hispida (Ringed seal),Cetacea (Cetacean unspec.),Mysticeti (Baleen whale unspec.),Large whale,Small whale,Balaenoptera physalus (Fin whale),Physeter macrocephalus (Sperm whale),Hyperoodon ampullatus (Northern bottlenose whale),Delphinapterus leucas (Beluga whale),Delphinidae (Dolphin unspec.),Delphinus delphis (Common dolphin),Globicephala macrorhynchus (Short-finned pilot whale)/Orcinus orca (Orca),Lagenorhynchus acutus (Atlantic white-sided dolphin)/Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin),Lagenorhynchus albirostris (White-beaked dolphin)/Tursiops truncatus (Bottlenose dolphin),Orcinus orca (Orca),Stenella sp. (Springer),Tursiops truncatus (Bottlenose dolphin),Delphinus delphis (Common dolphin)/Phocoena phocoena (Common porpoise),Phocoena phocoena (Common porpoise)
1,Agernæs,55.621207,10.293465,Open air,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,Aggersund,57,9.28,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Åle,56.879427,9.216719,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Åmølle (Nationalmuseet),56.682664,10.109755,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Anholt,56.711805,11.554872,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Asnæs Havnemark ,55.6704,10.9572,Open air,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Bergmansdal,56.022226,12.60326,Open air,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Bjørnsholm (S. H. Andersen & E. Johansen),56.871537,9.213137,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Blegkilde,57.030744,9.940976,Shell midden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bloksbjerg,57.257302,9.631894,Open air/waterlogged,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Bodal K,55.587107,11.537638,Waterlogged,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Brabrand Sø,56.145193,10.119089,Waterlogged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,Brabrand Sø,56.145193,10.119089,Waterlogged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,"Brovst (Lower Level, Layer 2/11)",57.09291,9.529211,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Brovst (Lower Level, Layer 8)",57.09291,9.529211,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Brovst (Upper Level),57.09291,9.529211,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Bundsø,55.022768,9.764719,Settlement,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Dragsholm,55.768027,11.387837,Shell midden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Dyrholmen,56.43,10.27,Open air/waterlogged,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20,Dyrholmen,56.43,10.27,Open air/waterlogged,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
21,Ertebølle (Nationalmuseet),56.81,9.17694,Shell midden,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22,Ertebølle (S. H. Andersen & E. Johansen),56.81,9.17694,Shell midden,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Fannerup,56.399837,10.713417,Shell middens,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Fannerup I,56.399837,10.713417,Shell midden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
