long,lat,systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsb,anlnr,anlaegstyp,anlaegsbet,dateringsk,datering,fra_aar,til_aar,kommunenav,kommunenr,sevaerdigh,url
11.8085409,54.93599935,2395,70109,29,,,Storeholm,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-5400,-3951,Guldborgsund,376,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/2395/
10.61705227,55.46537861,4581,80104,6,,,Barnehøj,Fortidsminde/lokalt kaldenavn,1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4581/
10.61953044,55.4370728,4591,80106,10,,,Ladby,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4591/
10.61666038,55.44536081,4599,80106,7,,,Nymarksgaard,"Ejendom, gård, hus",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4599/
10.65054344,55.50256003,4664,80108,1,B,,Mesinge,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4664/
10.61350954,55.51534767,4667,80108,4,,,Midskov,"Landskab, herunder vådområde",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4667/
10.58114308,55.46336739,4709,80109,12,,,Snekkeled,Uspecificeret,1,3188,Skaldynge,CXXX,Jernalder,-500,1066,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4709/
10.58143344,55.46548454,4710,80109,13,,,Snekkeled,Uspecificeret,1,3188,Skaldynge,CXXX,Jernalder,-500,1066,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4710/
10.65184289,55.41820832,4734,80110,1,,,Revninge,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4734/
10.65500331,55.41784206,4746,80110,2,,,Revninge,"Bebyggelse, havne og industrianlæg",1,3188,Skaldynge,AXXX,Stenalder,-250000,-1701,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4746/
10.62524077,55.41523948,4765,80111,3,,,Tvinde,Uspecificeret,1,3188,Skaldynge,OXXX,Oldtid,-250000,1066,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4765/
10.62290264,55.54576994,4834,80112,51,,,Langø,Uspecificeret,1,3188,Skaldynge,AXXX,Stenalder,-4300,-3951,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4834/
10.62290264,55.54576994,4834,80112,51,,,Langø,Uspecificeret,2,3188,Skaldynge,AXXX,Stenalder,-3950,-2801,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4834/
10.62290264,55.54576994,4834,80112,51,,,Langø,Uspecificeret,3,3188,Skaldynge,AXXX,Stenalder,-2800,-2351,Kerteminde,440,0,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/4834/
